"Algorithm", "Size", "Time"
"Merge Sort", 2, 0
"Merge Sort", 4, 0
"Merge Sort", 8, 0
"Merge Sort", 16, 0
"Merge Sort", 32, 0
"Merge Sort", 64, 0
"Merge Sort", 128, 0
"Merge Sort", 256, 1
"Merge Sort", 512, 1
"Merge Sort", 1024, 3
"Merge Sort", 2048, 6
"Merge Sort", 4096, 16
"Merge Sort", 8192, 24
"Merge Sort", 16384, 25
"Merge Sort", 32768, 64
"Merge Sort", 65536, 177
"Merge Sort", 131072, 643
"Merge Sort", 262144, 2552
"Selection Sort", 2, 0
"Selection Sort", 4, 0
"Selection Sort", 8, 0
"Selection Sort", 16, 0
"Selection Sort", 32, 0
"Selection Sort", 64, 0
"Selection Sort", 128, 0
"Selection Sort", 256, 0
"Selection Sort", 512, 1
"Selection Sort", 1024, 1
"Selection Sort", 2048, 3
"Selection Sort", 4096, 7
"Selection Sort", 8192, 28
"Selection Sort", 16384, 121
"Selection Sort", 32768, 465
"Selection Sort", 65536, 1999
"Selection Sort", 131072, 10607
"Selection Sort", 262144, 54898
"Heap Sort", 2, 0
"Heap Sort", 4, 0
"Heap Sort", 8, 0
"Heap Sort", 16, 0
"Heap Sort", 32, 0
"Heap Sort", 64, 0
"Heap Sort", 128, 0
"Heap Sort", 256, 1
"Heap Sort", 512, 1
"Heap Sort", 1024, 2
"Heap Sort", 2048, 5
"Heap Sort", 4096, 7
"Heap Sort", 8192, 19
"Heap Sort", 16384, 42
"Heap Sort", 32768, 86
"Heap Sort", 65536, 158
"Heap Sort", 131072, 353
"Heap Sort", 262144, 992
"Radix Sort", 2, 1
"Radix Sort", 4, 0
"Radix Sort", 8, 0
"Radix Sort", 16, 0
"Radix Sort", 32, 0
"Radix Sort", 64, 0
"Radix Sort", 128, 0
"Radix Sort", 256, 0
"Radix Sort", 512, 2
"Radix Sort", 1024, 1
"Radix Sort", 2048, 2
"Radix Sort", 4096, 3
"Radix Sort", 8192, 6
"Radix Sort", 16384, 12
"Radix Sort", 32768, 21
"Radix Sort", 65536, 32
"Radix Sort", 131072, 63
"Radix Sort", 262144, 138
